City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Port Alfred,ZA,2022-01-25 01:09:54,-33.5906,26.891,69.85,86,4,14.54
68,New Norfolk,AU,2022-01-25 01:12:52,-42.7826,147.0587,70.66,50,31,4.45
69,Payakumbuh,ID,2022-01-25 01:13:18,-0.2202,100.6308,72.46,89,96,0.6
70,Ucluelet,CA,2022-01-25 01:12:43,48.9329,-125.5528,40.08,92,49,4.54
71,Belousovka,KZ,2022-01-25 01:13:18,50.1339,82.5239,-10.35,77,100,2.24
72,Clyde River,CA,2022-01-25 01:08:36,70.4692,-68.5914,-1.97,84,100,26.46
73,Luderitz,NA,2022-01-25 01:13:19,-26.6481,15.1594,74.84,64,2,15.68
74,Gazojak,TM,2022-01-25 01:13:19,41.1875,61.4036,25.3,83,5,9.86
75,Ribeira Grande,PT,2022-01-25 01:13:19,38.5167,-28.7,59.27,66,100,5.53
76,Shenkursk,RU,2022-01-25 01:13:20,62.1091,42.896,24.96,90,100,13.58
77,Avarua,CK,2022-01-25 01:09:09,-21.2078,-159.775,80.65,89,100,8.05
78,Ponta Do Sol,PT,2022-01-25 01:13:20,32.6667,-17.1,61.43,54,58,9.17
79,Leh,IN,2022-01-25 01:13:20,34.1667,77.5833,-2.52,96,100,3.09
80,Husavik,IS,2022-01-25 01:13:21,66.0449,-17.3389,31.78,82,100,11.77
81,Kavieng,PG,2022-01-25 01:07:00,-2.5744,150.7967,85.1,68,63,5.28
82,Acapulco,MX,2022-01-25 01:07:44,16.8634,-99.8901,82.22,69,75,10.36
83,Singarayakonda,IN,2022-01-25 01:13:21,15.25,80.0333,69.03,53,0,8.66
84,Hobart,AU,2022-01-25 01:08:42,-42.8794,147.3294,71.02,81,75,1.01
85,Tonantins,BR,2022-01-25 01:11:15,-2.8731,-67.8022,75.36,95,97,1.28
86,Narowal,PK,2022-01-25 01:13:22,32.1,74.8833,46.29,90,4,2.95
