City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Avila,ES,43.4198,-4.7549,46.89,67,0,3.22,clear sky
293,Ahipara,NZ,-46.6,168.3333,54.81,76,100,10.92,overcast clouds
294,Upernavik,GL,77.484,-69.3632,-10.75,57,9,7.09,clear sky
295,Majene,ID,-3.6954,128.1814,86.14,74,20,5.75,few clouds
296,Yerbogachen,RU,53.6907,33.5071,15.78,96,100,4.74,snow
297,Tobermory,GB,60.1545,-1.1494,44.6,72,46,31.74,scattered clouds
298,Verkhniy Baskunchak,RU,53.6907,33.5071,15.78,96,100,4.74,snow
299,Hamilton,US,37.1041,-113.5841,52.63,33,0,5.01,clear sky
300,Husavik,IS,63.8424,-22.4338,30.67,86,75,3.44,broken clouds
301,Qaqortoq,GL,77.484,-69.3632,-10.75,57,9,7.09,clear sky
302,Alta Floresta,BR,-2.9248,-39.9167,80.71,74,99,12.73,overcast clouds
303,Te Anau,NZ,-46.6,168.3333,54.81,76,100,10.92,overcast clouds
304,Varkkallai,IN,17.6212,77.9503,65.21,57,0,6.73,clear sky
305,Lydenburg,ZA,-33.9258,18.4232,68.41,76,0,7.0,clear sky
306,Yuma,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
307,Senneterre,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
308,Kelowna,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
309,Santa Eulalia Del Rio,ES,43.4198,-4.7549,46.89,67,0,3.22,clear sky
310,Puri,IN,17.6212,77.9503,65.21,57,0,6.73,clear sky
311,Cockburn Town,TC,21.4612,-71.1419,76.98,71,0,9.1,clear sky
312,Oksfjord,NO,69.3143,16.1194,28.38,93,100,11.5,overcast clouds
313,Cotonou,BJ,6.3654,2.4183,76.98,94,1,4.61,dust
314,Mayo,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
315,Loa Janan,ID,-3.6954,128.1814,86.14,74,20,5.75,few clouds
316,Araouane,ML,22.6783,-3.9836,69.98,19,99,8.37,overcast clouds
317,Nivala,FI,63.9167,24.9667,17.69,93,31,6.6,scattered clouds
318,Barbar,SS,4.8517,31.5825,78.87,28,52,3.0,broken clouds
319,Venado Tuerto,AR,-29.15,-59.65,74.17,93,96,13.47,overcast clouds
320,Malanje,AO,-12.7761,15.7392,59.79,81,96,1.54,overcast clouds
321,Skelleftea,SE,65.5842,22.1547,23.07,80,97,3.44,overcast clouds
322,Kamenskoye,RU,53.6907,33.5071,15.78,96,100,4.74,snow
323,Xinmin,CN,43.3218,129.7634,8.94,90,39,1.88,scattered clouds
324,Marivan,IR,25.2919,60.643,66.31,37,0,3.49,clear sky
325,Mirabad,AF,30.4362,61.8383,45.63,41,0,3.22,clear sky
326,Grand River South East,MU,-20.4081,57.7,73.26,69,72,14.5,broken clouds
327,Kaitangata,NZ,-46.6,168.3333,54.81,76,100,10.92,overcast clouds
328,Shamkhal-Termen,RU,53.6907,33.5071,15.78,96,100,4.74,snow
329,Vadso,NO,69.3143,16.1194,28.38,93,100,11.5,overcast clouds
330,Temirtau,RU,53.6907,33.5071,15.78,96,100,4.74,snow
331,Salalah,OM,17.0151,54.0924,67.33,32,4,6.46,clear sky
332,Takhtamygda,RU,53.6907,33.5071,15.78,96,100,4.74,snow
333,Rawah,IQ,33.3406,44.4009,39.11,75,0,2.3,clear sky
334,Asyut,EG,24.0934,32.907,47.88,31,0,10.18,clear sky
335,Zyryanka,RU,53.6907,33.5071,15.78,96,100,4.74,snow
336,Sarankhola,BD,22.3082,89.7897,64.04,80,48,3.91,scattered clouds
337,Clyde River,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
338,Tagusao,PH,12.1791,125.5072,79.48,87,100,14.34,moderate rain
339,Geraldton,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
340,Gorontalo,ID,-3.6954,128.1814,86.14,74,20,5.75,few clouds
341,Vanimo,PG,-2.0226,147.2712,84.38,73,100,5.77,overcast clouds
342,Gamba,GA,-3.432,10.6554,74.82,90,67,2.3,broken clouds
343,Isangel,VU,-19.55,169.2667,85.51,70,14,5.97,moderate rain
344,Lakatoro,VU,-19.55,169.2667,85.51,70,14,5.97,moderate rain
345,Gurskoye,RU,53.6907,33.5071,15.78,96,100,4.74,snow
346,Moron,AR,-34.6534,-58.6198,80.35,89,96,3.65,overcast clouds
347,Ulagan,RU,53.6907,33.5071,15.78,96,100,4.74,snow
348,Solnechnyy,RU,53.6907,33.5071,15.78,96,100,4.74,snow
349,Redmond,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
350,Morehead,PG,-2.0226,147.2712,84.38,73,100,5.77,overcast clouds
351,Senanga,ZM,-16.1167,23.2667,67.89,74,100,2.24,overcast clouds
352,Coahuayana,MX,22.8909,-109.9124,72.7,53,20,4.0,few clouds
353,Warrnambool,AU,-20.7333,139.5,82.17,83,40,11.5,scattered clouds
354,Cocobeach,GA,-3.432,10.6554,74.82,90,67,2.3,broken clouds
355,Nsanje,MW,-16.0335,34.8009,72.61,91,99,2.37,overcast clouds
356,Mujiayingzi,CN,43.3218,129.7634,8.94,90,39,1.88,scattered clouds
357,Raudeberg,NO,69.3143,16.1194,28.38,93,100,11.5,overcast clouds
358,Walvis Bay,NA,-26.6481,15.1594,74.23,60,6,22.95,clear sky
359,Jiroft,IR,25.2919,60.643,66.31,37,0,3.49,clear sky
360,Pasighat,IN,17.6212,77.9503,65.21,57,0,6.73,clear sky
361,Campina Verde,BR,-2.9248,-39.9167,80.71,74,99,12.73,overcast clouds
362,Raymond,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
363,Kenora,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
364,Mergui,MM,20.4667,94.8833,63.93,73,45,5.79,scattered clouds
365,Great Yarmouth,GB,60.1545,-1.1494,44.6,72,46,31.74,scattered clouds
366,Vardo,NO,69.3143,16.1194,28.38,93,100,11.5,overcast clouds
367,Saint-Francois,FR,46.4154,3.9054,24.67,93,100,1.14,fog
